day,day_start,baseline,threshold_value,n_events,median_duration_min,iqr_duration_min
2020-09-09,2020-09-09 00:00:00-06:00,10.0,15.0,1,22.0,0.0
2020-09-15,2020-09-15 00:00:00-06:00,10.0,15.0,1,38.0,0.0
2020-09-17,2020-09-17 00:00:00-06:00,10.0,15.0,2,24.525,4.525000000000002
2020-10-03,2020-10-03 00:00:00-06:00,10.0,15.0,2,7.9833333333333325,5.999999999999999
2020-10-04,2020-10-04 00:00:00-06:00,10.82977777777778,16.24466666666667,4,6.0,15.5
2020-10-05,2020-10-05 00:00:00-06:00,13.463444444444445,20.195166666666665,1,682.0,0.0
2020-10-06,2020-10-06 00:00:00-06:00,51.07388888888889,76.61083333333333,0,,
2020-10-07,2020-10-07 00:00:00-06:00,49.194111111111106,73.79116666666665,5,28.0,51.9
2020-10-08,2020-10-08 00:00:00-06:00,75.57322222222223,113.35983333333334,0,,
2020-10-09,2020-10-09 00:00:00-06:00,53.312888888888885,79.96933333333332,0,,
2020-10-10,2020-10-10 00:00:00-06:00,10.0,15.0,1,2.0,0.0
2020-10-11,2020-10-11 00:00:00-06:00,10.0,15.0,0,,
2020-10-12,2020-10-12 00:00:00-06:00,10.0,15.0,3,6.0,3.0
2020-10-13,2020-10-13 00:00:00-06:00,10.0,15.0,0,,
2020-10-14,2020-10-14 00:00:00-06:00,10.0,15.0,1,14.0,0.0
2020-10-15,2020-10-15 00:00:00-06:00,10.0,15.0,1,28.0,0.0
2020-10-16,2020-10-16 00:00:00-06:00,10.0,15.0,0,,
2020-10-17,2020-10-17 00:00:00-06:00,10.0,15.0,0,,
2020-10-18,2020-10-18 00:00:00-06:00,10.0,15.0,2,1.9916666666666667,0.008333333333333304
2020-10-19,2020-10-19 00:00:00-06:00,10.0,15.0,0,,
2020-10-20,2020-10-20 00:00:00-06:00,10.0,15.0,1,2.0,0.0
2020-10-21,2020-10-21 00:00:00-06:00,10.0,15.0,0,,
2020-10-22,2020-10-22 00:00:00-06:00,10.0,15.0,0,,
