day,day_start,baseline,threshold_value,start,end,duration_min,peak_pm,mean_pm
2020-09-09,2020-09-09 00:00:00-06:00,10.0,15.0,2020-09-09 16:16:16-06:00,2020-09-09 16:38:16-06:00,22.0,674.54,232.36916666666664
2020-09-15,2020-09-15 00:00:00-06:00,10.0,15.0,2020-09-15 12:06:12-06:00,2020-09-15 12:44:12-06:00,38.0,783.47,169.15157894736842
2020-09-17,2020-09-17 00:00:00-06:00,10.0,15.0,2020-09-17 14:15:04-06:00,2020-09-17 14:44:07-06:00,29.05,366.62,148.93846153846152
2020-09-17,2020-09-17 00:00:00-06:00,10.0,15.0,2020-09-17 16:20:05-06:00,2020-09-17 16:40:05-06:00,20.0,520.95,173.94000000000003
2020-10-03,2020-10-03 00:00:00-06:00,10.0,15.0,2020-10-03 16:48:10-06:00,2020-10-03 17:02:09-06:00,13.983333333333333,53.67,33.1925
2020-10-03,2020-10-03 00:00:00-06:00,10.0,15.0,2020-10-03 17:20:10-06:00,2020-10-03 17:22:09-06:00,1.9833333333333334,16.61,16.555
2020-10-04,2020-10-04 00:00:00-06:00,10.82977777777778,16.24466666666667,2020-10-04 12:06:10-06:00,2020-10-04 12:08:10-06:00,2.0,17.31,16.86
2020-10-04,2020-10-04 00:00:00-06:00,10.82977777777778,16.24466666666667,2020-10-04 12:18:10-06:00,2020-10-04 12:20:10-06:00,2.0,18.14,17.585
2020-10-04,2020-10-04 00:00:00-06:00,10.82977777777778,16.24466666666667,2020-10-04 12:24:10-06:00,2020-10-04 13:04:10-06:00,40.0,19.82,17.908571428571427
2020-10-04,2020-10-04 00:00:00-06:00,10.82977777777778,16.24466666666667,2020-10-04 20:10:10-06:00,2020-10-04 20:20:10-06:00,10.0,33.56,22.658333333333335
2020-10-05,2020-10-05 00:00:00-06:00,13.463444444444445,20.195166666666665,2020-10-05 12:36:11-06:00,2020-10-05 23:58:11-06:00,682.0,102.09,60.45061403508772
2020-10-07,2020-10-07 00:00:00-06:00,49.194111111111106,73.79116666666665,2020-10-07 18:40:12-06:00,2020-10-07 18:46:12-06:00,6.0,76.8,75.2775
2020-10-07,2020-10-07 00:00:00-06:00,49.194111111111106,73.79116666666665,2020-10-07 19:28:12-06:00,2020-10-07 19:30:12-06:00,2.0,75.07,74.58
